chart_id,index_raw,source_mode,spot,position,stack,opponent,open,bet,source_hash,source_file,compressed_file,image_width,image_height,original_size_bytes,compressed_size_bytes,original_sha256,compressed_sha256
B2_0001,035,vssqueeze,Caller_IP_R_Mid,Any_position,25BB,SB,,5x,b1d6672fc2d1,035__spot-Caller_IP_R_Mid__position-Any_position__stack-25BB__opponent-SB__bet-5x__vssqueeze-b1d6672fc2d1.jpg,charts/0001.webp,434,600,30799,12228,baf19d8b1ad38df8198810eb7dc8a0268a885bf372f0d1a128b521810b67b0e7,4e8e97867ec08f100e1e4a6e7ccbb7f8f9fc537cb32eb0a7e211384d173ce55d
B2_0002,101,vssqueeze,IP_plus_SB,HJ-BTN,25BB,BB,,5x,7b38deb8927b,101__spot-IP_plus_SB__position-HJ-BTN__stack-25BB__opponent-BB__bet-5x__vssqueeze-7b38deb8927b.jpg,charts/0002.webp,434,600,30456,12210,339634e23851feeea46335f18056999f0c80b203a565b69c8d3754b96bbede59,9a15b75e45b8473e2a206f1adaaf0454253994942af94e6d666a0762a7d947c8
B2_0003,139,vssqueeze,Raiser_IP,EP-MP,25BB,BB,,6x,5d134a70f907,139__spot-Raiser_IP__position-EP-MP__stack-25BB__opponent-BB__bet-6x__vssqueeze-5d134a70f907.jpg,charts/0003.webp,434,600,28161,10504,ac55441c7ec4adff59e8e0e7b10f4f49671fa326a2d355ebcfc73181dfd36867,62671b0b53217be21877815cac6759e70b133d7b534b202caad383f0433f504a
B2_0004,127,vssqueeze,IP_plus_SB,SB_R_HJ-BTN,40BB,BB,,6x,f0273ae53155,127__spot-IP_plus_SB__position-SB_R_HJ-BTN__stack-40BB__opponent-BB__bet-6x__vssqueeze-f0273ae53155.jpg,charts/0004.webp,434,600,31494,12610,cc923e03cc6f84e643420a4847a74e68b1915ec8d47434eed0b196638d89acf9,74e066d85e405f99546970a381a720218c72e777ecb43e01dc2ff3af7397158e
B2_0005,030,vssqueeze,Caller_IP_R_Mid,Any_position,100BB,SB,,6x,6df987dc1fd9,030__spot-Caller_IP_R_Mid__position-Any_position__stack-100BB__opponent-SB__bet-6x__vssqueeze-6df987dc1fd9.jpg,charts/0005.webp,434,600,36460,14572,f0cefcab217d57348767c986717541c03d44a64cafd340d44e0aff6e871ce454,46194f82af02c8141ea9f63c9dc3d90beb6fd3cad53cbfd40d6b8cfd97402304
B2_0006,200,vssqueeze,Raiser_OOP,EP-MP,65BB,LJ-HJ,,3x,bfdc8adc7842,200__spot-Raiser_OOP__position-EP-MP__stack-65BB__opponent-LJ-HJ__bet-3x__vssqueeze-bfdc8adc7842.jpg,charts/0006.webp,434,600,33275,13470,4876bfb32b35df7e110cc3ef11e2311b042f95849d422dff7711d8551c3674a8,800eb95d5efd40410e92ccaf30bc811e2f0219bd5e33d66326ab8b1896810716
B2_0007,006,vssqueeze,Caller_IP_R_EP,Any_position,100BB,SB,,6x,178dec1f7026,006__spot-Caller_IP_R_EP__position-Any_position__stack-100BB__opponent-SB__bet-6x__vssqueeze-178dec1f7026.jpg,charts/0007.webp,434,600,34251,13520,a47c405dfed610c15c143cd22d24706b33d231588b8a6455fd5d03ba2aee8c58,acc42c8d6d507c166b42cf393f8c975995023c4c3cc7f7c432009b37cfa0abd3
B2_0008,051,vssqueeze,Caller_OOP_R_EP_MP,Any_position,100BB,CO-BTN,,5x,5e43c7fb876f,051__spot-Caller_OOP_R_EP_MP__position-Any_position__stack-100BB__opponent-CO-BTN__bet-5x__vssqueeze-5e43c7fb876f.jpg,charts/0008.webp,434,600,28444,11360,082a70ff1ed836c183aeb62269dd3562c56c6dc24c1754764a8f991a065994b7,bfdd1ebad4b25a1f6787ed92dab4a38c48d3bcdd5bdcbef849d558062de225eb
B2_0009,039,vssqueeze,Caller_IP_R_Mid,Any_position,40BB,BB,,6x,7cd7bbf0271b,039__spot-Caller_IP_R_Mid__position-Any_position__stack-40BB__opponent-BB__bet-6x__vssqueeze-7cd7bbf0271b.jpg,charts/0009.webp,434,600,28959,11386,66b29e955d886eec87f8d4741d5f0a9249080f22a04c28d74b3cc8e0638744fa,f0de44f14f65357d4413058545e7b1f54842312e2d881f241188734ac0db18e8
B2_0010,075,vssqueeze,Caller_OOP_R_LJ_HJ,Any_position,100BB,CO-BTN,,5x,16c5ecb1dcd3,075__spot-Caller_OOP_R_LJ_HJ__position-Any_position__stack-100BB__opponent-CO-BTN__bet-5x__vssqueeze-16c5ecb1dcd3.jpg,charts/0010.webp,434,600,31460,12848,61c7b891b1af593dbb76376766eba28eece6c8aa876f8a92304943b8b6a47326,3f74b344fe1e9e96ebf0b67b60d7590f74d3c6f05bce83db2f69133188e77035
B2_0011,106,vssqueeze,IP_plus_SB,HJ-BTN,65BB,BB,,4x,eadf3976636e,106__spot-IP_plus_SB__position-HJ-BTN__stack-65BB__opponent-BB__bet-4x__vssqueeze-eadf3976636e.jpg,charts/0011.webp,434,600,34458,13960,1484073398f499371440ccb2287d3d14c08869363e05712992e1195dbea78c4c,a7ae4657705b734c793b752a4582a9b96b4d375b9889b7a5b5b0135c5e2a5108
B2_0012,040,vssqueeze,Caller_IP_R_Mid,Any_position,40BB,SB,,4x,757910c895de,040__spot-Caller_IP_R_Mid__position-Any_position__stack-40BB__opponent-SB__bet-4x__vssqueeze-757910c895de.jpg,charts/0012.webp,434,600,31325,12792,6df380cb6c7c9b2e91761ec9d990383f19ed7748494b05d1265b88ceea7839da,478f839bf663634c78e164cfd26033c083dd72a67ba8ab61ab4e39459bb2416b
B2_0013,064,vssqueeze,Caller_OOP_R_EP_MP,Any_position,40BB,LJ-HJ,,3x,11477d74d941,064__spot-Caller_OOP_R_EP_MP__position-Any_position__stack-40BB__opponent-LJ-HJ__bet-3x__vssqueeze-11477d74d941.jpg,charts/0013.webp,434,600,34496,13962,0087695706643298469238295bc85b30ffb937246239cf50256b19741c1a61ce,6ea93a01e1e630993741cffbff543ff9a1ad66309e58a93c8c62200a6c9815ab
B2_0014,020,vssqueeze,Caller_IP_R_EP,Any_position,65BB,BB,,5x,e1b61674a47d,020__spot-Caller_IP_R_EP__position-Any_position__stack-65BB__opponent-BB__bet-5x__vssqueeze-e1b61674a47d.jpg,charts/0014.webp,434,600,28677,11202,b19a560cf23a716a72f120983fe33437e45083574fc3fe7ed6abb68a11af6a17,3b44a41f199940f4a6c980eb14261ec9b8d59824a3bb25350e150a57ff9f880c
B2_0015,082,vssqueeze,Caller_OOP_R_LJ_HJ,Any_position,65BB,CO-BTN,,3x,1d2e305757c0,082__spot-Caller_OOP_R_LJ_HJ__position-Any_position__stack-65BB__opponent-CO-BTN__bet-3x__vssqueeze-1d2e305757c0.jpg,charts/0015.webp,434,600,38475,15796,4f93075c2bfb57945cfd785f16ae376724c493586f8e6f4b6d0da8a7448b276d,00b2fced9a2a5e044315379692d4007e2c3e93a378c5dabaae2a45c7884d93e2
B2_0016,159,vssqueeze,Raiser_IP,HJ-CO,100BB,SB,,5x,17ed412c8935,159__spot-Raiser_IP__position-HJ-CO__stack-100BB__opponent-SB__bet-5x__vssqueeze-17ed412c8935.jpg,charts/0016.webp,434,600,36157,14786,ad571e6493cf6aeb3a1e4b22debe87fd1e8698809f13ba02c4a2d1d3e687f93b,9eb7d0f424c331738b9500637c6fbb3e6c176e0aae6fd26f1c2727155641af21
B2_0017,033,vssqueeze,Caller_IP_R_Mid,Any_position,25BB,BB,,6x,6892cf9a8be3,033__spot-Caller_IP_R_Mid__position-Any_position__stack-25BB__opponent-BB__bet-6x__vssqueeze-6892cf9a8be3.jpg,charts/0017.webp,434,600,29593,11472,ec9f3649f3f1d1209b178206f14e809058318d2421c1fc6b17c7fba8f6a95e89,15d0565a7e598f3319b75c9f392178836c07bc21334493dfb2cc432a475fde35
B2_0018,153,vssqueeze,Raiser_IP,EP-MP,65BB,SB,,5x,531533b2d619,153__spot-Raiser_IP__position-EP-MP__stack-65BB__opponent-SB__bet-5x__vssqueeze-531533b2d619.jpg,charts/0018.webp,434,600,29874,11786,13592739b398ad8359d06116b9f8a33c653f4ce5b7452d5bacbeb0bb33356428,99fdfaa783152ab376a32e7467d03beaf3641e79a15c988883c0152e2be848ce
B2_0019,166,vssqueeze,Raiser_IP,HJ-CO,25BB,SB,,6x,4a6c4a261611,166__spot-Raiser_IP__position-HJ-CO__stack-25BB__opponent-SB__bet-6x__vssqueeze-4a6c4a261611.jpg,charts/0019.webp,434,600,29123,11306,357319aa6185bcd0aad451396555e8d61d9c998be525f01fe50f3d0cbf0bbeeb,561268c4033536b75b2c53cb3d7eab8fb5ccfd7c650b0e02552282943f3b4186
B2_0020,016,vssqueeze,Caller_IP_R_EP,Any_position,40BB,SB,,4x,03b7f8465b56,016__spot-Caller_IP_R_EP__position-Any_position__stack-40BB__opponent-SB__bet-4x__vssqueeze-03b7f8465b56.jpg,charts/0020.webp,434,600,28150,10922,826aec07027ccf3a17771aae033ea355b8dfd691da62622f05dc03745d9c65d3,bb866d20d574a2416a5542da3ebe7d0335b7ec213596102e1caa65f2e94c9c30
B2_0021,122,vssqueeze,IP_plus_SB,SB_R_HJ-BTN,25BB,BB,,4x,ad6e81151470,122__spot-IP_plus_SB__position-SB_R_HJ-BTN__stack-25BB__opponent-BB__bet-4x__vssqueeze-ad6e81151470.jpg,charts/0021.webp,434,600,30030,11588,7601f5ffccbe152be76167c4525a9fc5d48edcd5c7905d0d51b4865042c2b06e,15aca3ffd77940253d5d77d0982d2af683b3cda53a145a31cbbc2741bd0825c7
B2_0022,052,vssqueeze,Caller_OOP_R_EP_MP,Any_position,100BB,LJ-HJ,,3x,efe59a54f920,052__spot-Caller_OOP_R_EP_MP__position-Any_position__stack-100BB__opponent-LJ-HJ__bet-3x__vssqueeze-efe59a54f920.jpg,charts/0022.webp,434,600,39063,15986,6ccea79cb42f1797a83a995eb04bcec141297beeee69bf35e5c3c2b747e317d5,f294605aa91b6abc86ab0b967fdcdae9f546ff44ab7f513a87b632397da92e18
B2_0023,071,vssqueeze,Caller_OOP_R_EP_MP,Any_position,65BB,LJ-HJ,,4x,0582a532be79,071__spot-Caller_OOP_R_EP_MP__position-Any_position__stack-65BB__opponent-LJ-HJ__bet-4x__vssqueeze-0582a532be79.jpg,charts/0023.webp,434,600,28340,11098,f60f5b6144bc9182a0d56f9f86b7f45d781f4330dae8d1615d795798f0e7cb22,b76524fe2c9efb7a3834ad9bdec8f3fd69cdb1079c588c7319ac001a04d4b78b
B2_0024,038,vssqueeze,Caller_IP_R_Mid,Any_position,40BB,BB,,5x,c68cd70a66f5,038__spot-Caller_IP_R_Mid__position-Any_position__stack-40BB__opponent-BB__bet-5x__vssqueeze-c68cd70a66f5.jpg,charts/0024.webp,434,600,29974,11706,5f926c4f12f6db6d5b5bb19fa856425f0ed7b192b31399d90558ce6ee218c28a,191bff0476b3906eccc353920d29819955bbb6571ae14e9c3cf9fb1d4b405665
B2_0025,189,vssqueeze,Raiser_OOP,EP-MP,25BB,LJ-HJ,,4x,3e42a60ad7b7,189__spot-Raiser_OOP__position-EP-MP__stack-25BB__opponent-LJ-HJ__bet-4x__vssqueeze-3e42a60ad7b7.jpg,charts/0025.webp,434,600,28525,11004,303d280e7105579d560dc1b1e35bf69ec2512d104a7988e1ca7814c7eba6462e,d73984ae57b47a700f12ab08516bac744778e8c461c73ed8be227ecaa7f767fe
B2_0026,005,vssqueeze,Caller_IP_R_EP,Any_position,100BB,SB,,5x,0a973b3815ac,005__spot-Caller_IP_R_EP__position-Any_position__stack-100BB__opponent-SB__bet-5x__vssqueeze-0a973b3815ac.jpg,charts/0026.webp,434,600,36960,14974,ea0874c5317237d78dbd3cd8fd1bb2d60d8b4f68edf9d8e36170c7a712e47b14,dce38ebeac9cb3e3cafe3f2803ad1aa3a1473f9e89197e5e897ed2a3c28799fc
