id,stack_bb,position,source_file,selected_combo_count,selected_percent,validation_status,source_sha256
UO_2-4_EP,2-4,EP,UO/2-4/EP.png,458,34.5,PASS,b215f061e70a9e702811f267bb595fa127fb87f9126cd3e151d6bfed2ac45d10
UO_2-4_MP,2-4,MP,UO/2-4/MP.png,518,39.1,PASS,abd744d07dec6850f34ceb0146acae24f4bfc51feda1085f82674649874b3392
UO_2-4_LJ,2-4,LJ,UO/2-4/LJ.png,538,40.6,PASS,101122ad185f9bcfcd5d2804dad160486b7f8ee32037a84ecd4c2d526ed75bed
UO_2-4_HJ,2-4,HJ,UO/2-4/HJ.png,610,46.0,PASS,9c136c69c435616564ff993d474203abe85550c798b902e9c8905a6251f31399
UO_2-4_CO,2-4,CO,UO/2-4/CO.png,730,55.1,PASS,eee792cd07de39032880f9fa439029d80f9a7325dc0371c8f338f414cf956357
UO_2-4_BTN,2-4,BTN,UO/2-4/BTN.png,818,61.7,PASS,fcc47051c6d25fae22a890dbc971a2c0d5db15c2a6ccff4617db8137e3ff6baf
UO_4-6_EP,4-6,EP,UO/4-6/EP.png,410,30.9,PASS,b5dc897ad45b9249cae836c51d898a704bb1b9465a572399568806f5edc3b2c5
UO_4-6_MP,4-6,MP,UO/4-6/MP.png,446,33.6,PASS,df403291bc75c5443eda60dd0d1b7d9b463b71abd15c900ba322e558b4a24fb7
UO_4-6_LJ,4-6,LJ,UO/4-6/LJ.png,458,34.5,PASS,b62174079f0933d82229480efc9e886ecd024724c5f5bcf7e573698228b9b605
UO_4-6_HJ,4-6,HJ,UO/4-6/HJ.png,482,36.3,PASS,19544b192274a50d4b7b4b74194b3a226bfa0f833c7ab421ed3c932cc2877b12
UO_4-6_CO,4-6,CO,UO/4-6/CO.png,514,38.8,PASS,40ccbd916c733a748503520ed215028b24141b202701133f3f8b65a20d9ec935
UO_4-6_BTN,4-6,BTN,UO/4-6/BTN.png,650,49.0,PASS,52c619515616c8ab2fb05915c32b61e2e63c2e04ad3437aa08857e2dd7679706
UO_6-8_EP,6-8,EP,UO/6-8/EP.png,252,19.0,PASS,85c877f51396dec647db611dbf35b11cab4badadc8ce2a86641302ddbcb9d590
UO_6-8_MP,6-8,MP,UO/6-8/MP.png,274,20.7,PASS,62edcd61e977b16f3f94b2e0e7fd50d467f3f398bb4f484b3b9080f9b92f4b41
UO_6-8_LJ,6-8,LJ,UO/6-8/LJ.png,318,24.0,PASS,2ecad873b66286711ca930804d7692fd300ae0bbb960e41de9f084d26af0a99e
UO_6-8_HJ,6-8,HJ,UO/6-8/HJ.png,402,30.3,PASS,4d18b772020f823beadc710883b04548aebf181919f18abb9aa59091f5a2d397
UO_6-8_CO,6-8,CO,UO/6-8/CO.png,450,33.9,PASS,ccb43ceb22be0b5a1b8330ce6639bcc5b86573e0c5835c3b546e2b2455dd37f0
UO_6-8_BTN,6-8,BTN,UO/6-8/BTN.png,566,42.7,PASS,00499ab98074bdfa43fdbd31b97781183533a358b02424f575cb8769fb1f890c
UO_8-10_EP,8-10,EP,UO/8-10/EP.png,212,16.0,PASS,b53c9b8c58e8b74f24eddefe61b0c75512711b2b4dd445bc8e00d9dec52956dc
UO_8-10_MP,8-10,MP,UO/8-10/MP.png,270,20.4,PASS,d133c66e0a6f7025a0be3043fdc7c4a1f921bc664ebe766b9f1995f483e4d878
UO_8-10_LJ,8-10,LJ,UO/8-10/LJ.png,310,23.4,PASS,d873abd2a5e2fd377e7fbe05f0b5af89bb0a75cedd7bb4b62f8690e43559040a
UO_8-10_HJ,8-10,HJ,UO/8-10/HJ.png,354,26.7,PASS,c37bf685d2cd000e5aeda17f45a97b980705e1f283bdedd00eef039eeaff5c65
UO_8-10_CO,8-10,CO,UO/8-10/CO.png,410,30.9,PASS,0f721252b646b9012d395129eb56a1c2ace99c487935c57864063f34dda1fa7a
UO_8-10_BTN,8-10,BTN,UO/8-10/BTN.png,442,33.3,PASS,36896fc3846f4e7e5aeccc4062128e2f7c8c0d5431b9ee29279a1686d2ab98d0
UO_10-12_EP,10-12,EP,UO/10-12/EP.png,178,13.4,PASS,88c979c8969a3496b4fbe4ce6d61643466483c0489608b80a0328dc5fe7d01a3
UO_10-12_MP,10-12,MP,UO/10-12/MP.png,230,17.3,PASS,934a95cdcbe904b9eba07591b76d759d354c0fd6f45a714ebdcd5322fced24e8
UO_10-12_LJ,10-12,LJ,UO/10-12/LJ.png,230,17.3,PASS,a600d7b0c411ad9972bb1254cf76588858b137a7ab653163cb69cd74e162e272
UO_10-12_HJ,10-12,HJ,UO/10-12/HJ.png,298,22.5,PASS,67f7adc624392bbe80321ce97cc4ff7af794e06f41908e9b7b059644eb8ed608
UO_10-12_CO,10-12,CO,UO/10-12/CO.png,382,28.8,PASS,9c2c161a25eb01ead719aa876f326a182382761edbe265c9cf6dd1b3ac2f1bbc
UO_10-12_BTN,10-12,BTN,UO/10-12/BTN.png,418,31.5,PASS,67a829c9cb19cd93590f17d123ed894295bf899ac9665dca94748c39bec797be
UO_12-15_EP,12-15,EP,UO/12-15/EP.png,186,14.0,PASS,963b58fbbc8c9300481bcae9b2c6c5fb72aae2df4b6c1d88245445df46938397
UO_12-15_MP,12-15,MP,UO/12-15/MP.png,226,17.0,PASS,a7bad74ff2740ade28c1d49a80d4e2aa61dfb5bd4cd4d7d3746205950dff8d62
UO_12-15_LJ,12-15,LJ,UO/12-15/LJ.png,286,21.6,PASS,46c4676dc5adbf33e1aeec7acff4c0d572296b5b0e49024cd81ed915095fdd45
UO_12-15_HJ,12-15,HJ,UO/12-15/HJ.png,298,22.5,PASS,2f984aab423849f1458716f2a444fd0d4d5b5c23b7a26f593a57efbfc3b72c02
UO_12-15_CO,12-15,CO,UO/12-15/CO.png,386,29.1,PASS,2f574e589f34f84721453e64961455c5496d7f6d695bef92a8b3d6a509866832
UO_12-15_BTN,12-15,BTN,UO/12-15/BTN.png,474,35.7,PASS,5f1631298edd311357a54d37f591823b195fa9a98bdc35d34951a95aed71cfdf
UO_15-18_EP,15-18,EP,UO/15-18/EP.png,182,13.7,PASS,3112970d7124761fa8d9413a04957a6828948ab61a85d0b3935a533d2fe7a847
UO_15-18_MP,15-18,MP,UO/15-18/MP.png,210,15.8,PASS,5427ef4cd5a97250a269b909cd9e30f3a968edfa58a329d3dc759d0f33150b2c
UO_15-18_LJ,15-18,LJ,UO/15-18/LJ.png,258,19.5,PASS,23ab6429336c8a7c7d3fe91a4fa87e15a13852687cdd49f0355063d1a3f8df1d
UO_15-18_HJ,15-18,HJ,UO/15-18/HJ.png,338,25.5,PASS,5b459aa8d747b1da18d6cc859e5580a82d6782f32f7c298f38b5237c8a1df3de
UO_15-18_CO,15-18,CO,UO/15-18/CO.png,386,29.1,PASS,497b49170fd3b03b2b22d218f3d405f8027e7f3edf81270f1710d9b8c9233197
UO_15-18_BTN,15-18,BTN,UO/15-18/BTN.png,606,45.7,PASS,3e4cb9ad88810a418b2868d395c3eb56bcaf898e061b5834198ae5eef241dff8
UO_18-25_EP,18-25,EP,UO/18-25/EP.png,368,27.8,PASS,bbabc67874e51c48ac6f2c10e18768591340d8a8cab9f3ebdf40b7c71baef095
UO_18-25_MP,18-25,MP,UO/18-25/MP.png,270,20.4,PASS,cbabc80dd15b4df4f131eae2b05a92484ef9468e312898aacaa9d0dfac902da5
UO_18-25_LJ,18-25,LJ,UO/18-25/LJ.png,282,21.3,PASS,1ed007f78417e30d2a84fab1908579768179da9f20b1df569dca30e6d754d66d
UO_18-25_HJ,18-25,HJ,UO/18-25/HJ.png,318,24.0,PASS,357d5fcdccd88f72adebeefb62a83f8b11cb36956f772b55108c6033629859ba
