chunk_file,chart_count,first_chart_id,last_chart_id,size_bytes
charts_0001_0100.zip,100,0001,0100,1247508
charts_0101_0200.zip,100,0101,0200,1222033
charts_0201_0300.zip,100,0201,0300,1796668
charts_0301_0400.zip,100,0301,0400,1439239
charts_0401_0500.zip,100,0401,0500,1517354
charts_0501_0600.zip,100,0501,0600,1590447
charts_0601_0700.zip,100,0601,0700,1507361
charts_0701_0800.zip,100,0701,0800,1759645
charts_0801_0900.zip,100,0801,0900,2268370
charts_0901_1000.zip,100,0901,1000,1973238
charts_1001_1100.zip,100,1001,1100,1517222
charts_1101_1200.zip,100,1101,1200,1450939
charts_1201_1300.zip,100,1201,1300,1411940
charts_1301_1400.zip,100,1301,1400,1458413
charts_1401_1500.zip,100,1401,1500,1426545
charts_1501_1578.zip,78,1501,1578,1119804
