source_group,stack_bb,position,hand,action_raw,source_color,combos,source_file,parser_status
UO,2-4,EP,AA,AI,purple,6,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,AKs,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,AQs,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,AJs,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,ATs,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,A9s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,A8s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,A7s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,A6s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,A5s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,A4s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,A3s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,A2s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,AKo,AI,purple,12,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,KK,AI,purple,6,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,KQs,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,KJs,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,KTs,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,K9s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,K8s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,K7s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,K6s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,K5s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,K4s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,K3s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,K2s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,AQo,AI,purple,12,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,KQo,AI,purple,12,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,QQ,AI,purple,6,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,QJs,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,QTs,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,Q9s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,Q8s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,Q7s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,Q6s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,Q5s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,Q4s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,Q3s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,Q2s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,AJo,AI,purple,12,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,KJo,AI,purple,12,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,QJo,AI,purple,12,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,JJ,AI,purple,6,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,JTs,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,J9s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,J8s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,J7s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,J6s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,J5s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,J4s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,J3s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,J2s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,ATo,AI,purple,12,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,KTo,AI,purple,12,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,QTo,AI,purple,12,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,JTo,AI,purple,12,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,TT,AI,purple,6,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,T9s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,T8s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,T7s,AI,purple,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,T6s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,T5s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,T4s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
UO,2-4,EP,T3s,UNSELECTED,gray,4,UO/2-4/EP.png,VERIFIED_BY_COLOR_GRID
